iter	Logloss
0	0.6782826993
1	0.669810401
2	0.6536753904
3	0.6395657225
4	0.6258046595
5	0.6068945669
6	0.5939968462
7	0.5812407491
8	0.5707792581
9	0.5626603234
10	0.5519618488
11	0.5434728878
12	0.5337354833
13	0.5247425719
14	0.5112928993
15	0.5005919179
16	0.4921488057
17	0.4847949434
18	0.4762868156
19	0.4683172207
20	0.4597652101
21	0.4505022098
22	0.4436333287
23	0.432951935
24	0.4248985016
25	0.4177267642
26	0.4079086338
27	0.4021656328
28	0.3931797137
29	0.3877200616
30	0.3793984904
31	0.3721806305
32	0.3681745701
33	0.3624363229
34	0.3566713722
35	0.3516965716
36	0.3454461037
37	0.342064546
38	0.3365329715
39	0.3311977678
40	0.3251047988
41	0.3188233047
42	0.3139675648
43	0.3078080243
44	0.3006903933
45	0.2949914993
46	0.2926275249
47	0.2894397521
48	0.2858659403
49	0.2811068772
50	0.2768762067
51	0.2737113614
52	0.2702308439
53	0.2668192378
54	0.2641756703
55	0.2620629276
56	0.258010054
57	0.2534716354
58	0.2499160349
59	0.2471382991
60	0.2456662269
61	0.2420604537
62	0.2386447842
63	0.2349168267
64	0.2324967092
65	0.2296295338
66	0.2269717406
67	0.224329379
68	0.221123181
69	0.2180182022
70	0.2154274525
71	0.2127142434
72	0.2094687537
73	0.2073054493
74	0.2051776527
75	0.2024302953
76	0.1982423182
77	0.1949260158
78	0.1933076896
79	0.1913727908
80	0.1888588023
81	0.1859521721
82	0.1835615338
83	0.1799254332
84	0.1772446467
85	0.1753591245
86	0.1737885499
87	0.1716735765
88	0.1694270907
89	0.1681310002
90	0.1671199465
91	0.1654043462
92	0.1633777526
93	0.1620260429
94	0.1606636876
95	0.158115101
96	0.1569914831
97	0.1548072735
98	0.153239936
99	0.1512624628
