iter	Passed	Remaining
0	51	5102
1	85	4212
2	120	3888
3	157	3791
4	198	3776
5	233	3659
6	267	3555
7	300	3453
8	332	3364
9	365	3290
10	398	3224
11	430	3159
12	463	3104
13	496	3051
14	529	3001
15	565	2971
16	600	2933
17	634	2891
18	667	2845
19	701	2805
20	734	2761
21	766	2719
22	799	2677
23	833	2637
24	866	2598
25	899	2558
26	931	2519
27	964	2480
28	997	2442
29	1031	2407
30	1065	2372
31	1104	2347
32	1143	2320
33	1184	2299
34	1219	2265
35	1253	2227
36	1286	2190
37	1319	2152
38	1356	2120
39	1395	2093
40	1429	2056
41	1462	2019
42	1495	1982
43	1528	1944
44	1560	1907
45	1596	1873
46	1633	1841
47	1665	1804
48	1700	1769
49	1732	1732
50	1765	1695
51	1797	1659
52	1830	1623
53	1862	1586
54	1895	1550
55	1929	1516
56	1966	1483
57	1998	1447
58	2034	1414
59	2073	1382
60	2110	1349
61	2149	1317
62	2186	1284
63	2222	1250
64	2256	1214
65	2289	1179
66	2322	1143
67	2355	1108
68	2388	1073
69	2420	1037
70	2454	1002
71	2487	967
72	2519	931
73	2552	896
74	2584	861
75	2619	827
76	2657	793
77	2695	760
78	2731	726
79	2766	691
80	2799	656
81	2831	621
82	2863	586
83	2895	551
84	2928	516
85	2960	481
86	2992	447
87	3025	412
88	3058	377
89	3090	343
90	3123	308
91	3159	274
92	3199	240
93	3234	206
94	3267	171
95	3300	137
96	3332	103
97	3365	68
98	3397	34
99	3429	0
